disposition,period,duration,transit_depth,planet_radius,star_temp,star_radius,model_snr,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,ra,dec,sma,display_name,source_kepler,source_tess
1,16.3297527,6.271,1187.5,3.75,5878.0,0.987,74.6,0.0,0.0,0.0,0.0,5878.0,5878.0,0.1255,Kepler-698 b,True,False
1,27.807566216,4.21587,25391.0,13.84,5862.0,0.785,748.1,0.0,0.0,0.0,0.0,5862.0,5862.0,0.1711,Kepler-699 b,True,False
1,80.8723469,11.195,3604.6,7.59,5510.0,1.238,160.9,0.0,0.0,0.0,0.0,5510.0,5510.0,0.3577,Kepler-700 b,True,False
0,3.166465862,2.9381,4357.2,26.82,4968.0,0.704,122.1,0.0,1.0,1.0,0.0,4968.0,4968.0,0.0371,,True,False
1,24.99324319,5.9409,269.6,2.29,5718.0,1.317,62.0,0.0,0.0,0.0,0.0,5718.0,5718.0,0.1651,Kepler-467 b,True,False
1,10.35533116,3.1775,750.6,2.47,5501.0,0.918,49.2,0.0,0.0,0.0,0.0,5501.0,5501.0,0.0895,Kepler-701 b,True,False
1,16.08518937,3.984,1442.4,3.68,5239.0,0.826,62.6,0.0,0.0,0.0,0.0,5239.0,5239.0,0.1173,Kepler-709 b,True,False
2,235.9986399,8.2284,20715.0,10.59,4245.0,0.657,271.8,0.0,0.0,0.0,0.0,4245.0,4245.0,0.6534,,True,False
1,7.49018305,2.7297,1123.6,2.56,5103.0,0.787,53.0,0.0,0.0,0.0,0.0,5103.0,5103.0,0.0703,Kepler-245 b,True,False
1,36.2761238,4.7865,1572.6,3.03,5103.0,0.787,45.5,0.0,0.0,0.0,0.0,5103.0,5103.0,0.2012,Kepler-245 d,True,False
1,17.46087931,2.2641,812.4,2.32,5103.0,0.787,22.6,0.0,0.0,0.0,0.0,5103.0,5103.0,0.1236,Kepler-245 c,True,False
1,56.0560754,4.685,1626.0,1.94,3593.0,0.491,27.4,0.0,0.0,0.0,0.0,3593.0,3593.0,0.228,Kepler-705 b,True,False
1,41.408316686,5.0264,22839.0,11.38,5522.0,0.747,907.8,0.0,0.0,0.0,0.0,5522.0,5522.0,0.2162,Kepler-706 b,True,False
2,39.74893077,7.3051,15179.0,14.21,6122.0,0.964,561.1,0.0,0.0,0.0,0.0,6122.0,6122.0,0.2311,,True,False
1,5.715425977,2.5242,908.1,2.47,5237.0,0.826,59.4,0.0,0.0,0.0,0.0,5237.0,5237.0,0.0611,Kepler-243 b,True,False
1,49.18394185,11.3364,1646.2,8.2,5626.0,2.057,355.7,0.0,0.0,0.0,0.0,5626.0,5626.0,0.2829,Kepler-108 b,True,False
1,20.0261412,1.611,421.2,2.28,5237.0,0.826,10.7,0.0,0.0,0.0,0.0,5237.0,5237.0,0.1409,Kepler-243 c,True,False
2,13.61014819,2.594,5732.9,19.02,5697.0,0.903,184.1,0.0,0.0,0.0,0.0,5697.0,5697.0,0.1061,,True,False
0,10.44331991,2.743,1159.8,2.66,4947.0,0.802,51.7,0.0,1.0,1.0,1.0,4947.0,4947.0,0.0857,,True,False
1,2.237489571,1.8119,315.8,1.41,5265.0,0.81,30.7,0.0,0.0,0.0,0.0,5265.0,5265.0,0.0325,Kepler-707 b,True,False
