disposition,period,duration,transit_depth,planet_radius,star_temp,star_radius,model_snr,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,source_kepler,source_tess
1,16.08518937,3.984,1442.4,3.68,5239.0,0.826,62.6,0.0,0.0,0.0,0.0,True,False
1,7.49018305,2.7297,1123.6,2.56,5103.0,0.787,53.0,0.0,0.0,0.0,0.0,True,False
1,36.2761238,4.7865,1572.6,3.03,5103.0,0.787,45.5,0.0,0.0,0.0,0.0,True,False
1,17.46087931,2.2641,812.4,2.32,5103.0,0.787,22.6,0.0,0.0,0.0,0.0,True,False
1,56.0560754,4.685,1626.0,1.94,3593.0,0.491,27.4,0.0,0.0,0.0,0.0,True,False
1,41.408316686,5.0264,22839.0,11.38,5522.0,0.747,907.8,0.0,0.0,0.0,0.0,True,False
1,5.715425977,2.5242,908.1,2.47,5237.0,0.826,59.4,0.0,0.0,0.0,0.0,True,False
1,49.18394185,11.3364,1646.2,8.2,5626.0,2.057,355.7,0.0,0.0,0.0,0.0,True,False
1,20.0261412,1.611,421.2,2.28,5237.0,0.826,10.7,0.0,0.0,0.0,0.0,True,False
0,10.44331991,2.743,1159.8,2.66,4947.0,0.802,51.7,0.0,1.0,1.0,1.0,True,False
1,2.237489571,1.8119,315.8,1.41,5265.0,0.81,30.7,0.0,0.0,0.0,0.0,True,False
0,5.851520671,3.11058,33004.0,14.62,5532.0,0.806,1630.4,0.0,1.0,0.0,0.0,True,False
1,3.167893418,2.1814,781.2,2.62,5895.0,0.94,64.8,0.0,0.0,0.0,0.0,True,False
1,4.311780262,2.7251,1154.0,3.11,5527.0,0.927,86.1,0.0,0.0,0.0,0.0,True,False
1,20.0504494,4.556,840.9,2.69,5527.0,0.927,37.8,0.0,0.0,0.0,0.0,True,False
1,9.76734503,1.6585,569.1,2.67,5527.0,0.927,21.1,0.0,0.0,0.0,0.0,True,False
1,190.3200468,15.284,1141.7,7.78,5626.0,2.057,139.3,0.0,0.0,0.0,0.0,True,False
0,2.861159894,1.8832,1014.3,4.37,6126.0,1.021,58.3,0.0,1.0,1.0,0.0,True,False
1,26.44439337,3.9783,1843.5,3.91,5427.0,0.929,88.0,0.0,0.0,0.0,0.0,True,False
1,51.53997972,6.3994,3644.3,5.51,5427.0,0.929,155.5,0.0,0.0,0.0,0.0,True,False
1,5.902245782,2.9003,702.3,2.43,5427.0,0.929,59.3,0.0,0.0,0.0,0.0,True,False
1,2.382951591,1.8876,391.6,1.86,5427.0,0.929,41.4,0.0,0.0,0.0,0.0,True,False
1,21.02250608,4.1072,1772.5,3.07,5067.0,0.75,62.4,0.0,0.0,0.0,0.0,True,False
1,3.219814777,2.0642,488.2,1.69,5103.0,0.787,30.5,0.0,0.0,0.0,0.0,True,False
1,5.912273234,2.3254,961.4,1.73,4072.0,0.57,62.8,0.0,0.0,0.0,0.0,True,False
1,8.98581901,2.8606,881.3,1.65,4072.0,0.57,51.8,0.0,0.0,0.0,0.0,True,False
0,20.5452375,2.517,218.5,2.41,5670.0,1.264,18.5,0.0,1.0,0.0,0.0,True,False
1,33.60123371,4.4056,7425.9,8.46,5149.0,0.93,247.9,0.0,0.0,0.0,0.0,True,False
1,6.76652928,2.9004,450.7,1.97,5149.0,0.93,29.2,0.0,0.0,0.0,0.0,True,False
1,4.347288783,2.1024,451.6,2.36,5754.0,1.122,39.7,0.0,0.0,0.0,0.0,True,False
1,4.601811819,2.2607,755.9,2.35,4986.0,0.833,60.8,0.0,0.0,0.0,0.0,True,False
1,11.18719905,3.252,353.6,1.55,4986.0,0.833,21.9,0.0,0.0,0.0,0.0,True,False
1,4.220965778,3.0854,2260.0,2.62,3837.0,0.517,157.8,0.0,0.0,0.0,0.0,True,False
0,6.998099523,2.0488,20285.0,588.66,5612.0,0.829,192.3,0.0,1.0,0.0,0.0,True,False
1,5.95489993,2.3892,1410.7,2.33,4261.0,0.633,87.2,0.0,0.0,0.0,0.0,True,False
1,12.03987488,2.7363,1250.6,2.18,4261.0,0.633,57.6,0.0,0.0,0.0,0.0,True,False
1,20.83762895,2.3734,439.0,1.42,4261.0,0.633,14.9,0.0,0.0,0.0,0.0,True,False
0,8.8111022,5.0683,401.1,63.66,6200.0,2.404,76.8,0.0,1.0,1.0,1.0,True,False
1,23.58917143,5.073,1200.7,3.16,4919.0,0.721,53.3,0.0,0.0,0.0,0.0,True,False
1,6.481633073,3.784,298.5,2.54,5945.0,1.302,125.6,0.0,0.0,0.0,0.0,True,False
1,10.37168928,3.035,1254.9,3.2,5121.0,0.888,64.5,0.0,0.0,0.0,0.0,True,False
1,3.96996298,1.1757,299.2,1.78,5121.0,0.888,15.0,0.0,0.0,0.0,0.0,True,False
1,4.40841331,5.012,549.4,2.66,6007.0,0.961,45.1,0.0,0.0,0.0,0.0,True,False
0,7.9426176,6.703,1590.7,4.68,5811.0,0.926,60.4,0.0,1.0,1.0,1.0,True,False
1,226.8904775,7.558,3136.4,4.53,5067.0,0.75,46.8,0.0,0.0,0.0,0.0,True,False
0,1.956811408,2.1958,24905.0,21.58,5209.0,0.603,125.4,0.0,1.0,0.0,0.0,True,False
1,9.439459486,2.8979,3036.1,4.16,5097.0,0.779,175.2,0.0,0.0,0.0,0.0,True,False
1,11.523067458,3.8757,507.3,3.13,5644.0,1.411,142.0,0.0,0.0,0.0,0.0,True,False
