id,name,star_name,orbital_period,radius,ra,dec,duration,transit_depth,model_snr
153,EPIC 201841433 b,EPIC 201841433,4.1694233333333335,1.1833333333333333,175.20675199999997,6.134814600000001,2.4,0.0447,
154,EPIC 205950854 c,K2-168,8.049707333333332,1.37,333.1100738,-16.3418863,3.72,0.0303,
155,EPIC 206024342 b,EPIC 206024342,4.507365,1.5699999999999998,331.2771441,-14.1218019,2.184,0.0267,
156,EPIC 206024342 c,EPIC 206024342,0.9116662333333334,1.3033333333333335,331.2771441,-14.1218019,1.553,0.01765,
157,EPIC 206024342 d,EPIC 206024342,14.642393,3.015,331.2771441,-14.1218019,4.129466666666667,0.08485000000000001,
158,EPIC 206032309 b,EPIC 206032309,2.87814,1.01,341.2404563,-13.9011223,,,
159,EPIC 206042996 b,EPIC 206042996,5.29808,2.2133333333333334,337.5136198,-13.610147500000002,3.144,0.197,
160,EPIC 206042996 c,EPIC 206042996,0.35489686,1.325,337.5136198,-13.6101475,1.07,0.0553,
161,EPIC 206215704 b,EPIC 206215704,2.254912,1.3,335.0949721,-9.5097112,0.984,0.269,
162,EPIC 206317286 b,EPIC 206317286,1.58284,1.0899999999999999,337.6178427,-7.972456,1.752,0.03,
163,EPIC 206317286 c,EPIC 206317286,17.509878,2.291333333333333,337.6178427,-7.972456,4.043,0.10289999999999999,
164,EPIC 211822797 b,EPIC 211822797,21.169002578333334,2.0700000000000003,130.4102091,17.6399744,2.9280000000000004,0.07836666666666665,
165,EPIC 211945201 b,EPIC 211945201,19.493246304545455,5.93672341875,136.5741931,19.4020565,3.560154285714286,0.15994,
166,EPIC 212297394 b,EPIC 212297394,2.2892509999999997,1.5443333333333333,207.2061241,-17.6098985,1.744,0.0535,
167,EPIC 212297394 c,EPIC 212297394,5.213581666666666,2.2800000000000002,207.2061241,-17.6098985,2.5046933333333334,0.07685,
168,EPIC 212424622 b,EPIC 212424622,18.0977,2.19,202.3313765,-14.3594358,4.32,0.0298,
169,EPIC 212499991 b,EPIC 212499991,34.885,1.6,202.488752,-12.7347749,,,
170,EPIC 212587672 b,EPIC 212587672,15.282993333333332,1.2566666666666666,205.4445125,-10.862546799999999,3.5060000000000002,0.0187,
171,EPIC 212587672 c,EPIC 212587672,23.228926943333335,2.2936488324999997,205.4445125,-10.862546799999999,3.471864,0.0555,
172,EPIC 212624936 b,EPIC 212624936,0.578657,1.2,210.6376171,-10.0236852,,,
173,EPIC 212624936 c,EPIC 212624936,11.8126535,2.485,210.6376171,-10.0236852,2.064,0.0722,
174,EPIC 212737443 b,EPIC 212737443,13.604326513333334,2.586,204.2215065,-7.3180577,3.078,0.12573333333333334,
175,EPIC 212737443 c,EPIC 212737443,65.55,2.69,204.2215065,-7.3180577,4.608,0.11,
176,EPIC 220492298 b,EPIC 220492298,0.762406,0.99,16.7615005,6.588798,,,
177,EPIC 220554210 c,K2-282,0.7053353333333333,1.6033333333333335,13.4321524,7.9952914,1.704,0.0262,
178,EPIC 220674823 b,EPIC 220674823,0.5712738083333333,1.7072962825,13.0800239,10.7947051,1.56376,0.026285,
179,EPIC 220674823 c,EPIC 220674823,13.339028363636363,2.7919001427272727,13.080023899999999,10.7947051,3.7400400000000005,0.07980000000000001,
180,EPIC 228836835 b,EPIC 228836835,0.7281215000000001,1.185,189.5748998,-5.2446247,0.7992,0.068,
181,EPIC 229004835 b,EPIC 229004835,16.139231,2.147923185,186.4860415,-1.4047214,2.1,0.036,
182,EPIC 246851721 b,EPIC 246851721,6.180254762483333,12.742202765,78.9198197,16.2786991,4.1455503,0.50119229,
183,EPIC 248847494 b,EPIC 248847494,3650.0,12.44199,159.3890808,11.8427484,53.6,0.18,
184,EPIC 249893012 b,EPIC 249893012,3.5951,1.95,228.2482353,-16.7246474,4.33,,
185,EPIC 249893012 c,EPIC 249893012,15.624,3.67,228.2482353,-16.7246474,6.37,,
186,EPIC 249893012 d,EPIC 249893012,35.747,3.94,228.2482353,-16.7246474,9.56,,
187,FU Tau b,FU Tau,,,65.8974962,25.0506711,,,
188,G 192-15 b,G 192-15,2.27476,,90.6220931,49.861939,,,
189,G 192-15 c,G 192-15,1219.0,,90.6220931,49.861939,,,
